                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.4526,                  1.094,                 1.2016,                0.49586,                0.40803,                0.41989,                0.24604,                 1.2994,                0.98829,                 1.1367,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.4506,                 1.0953,                 1.2011,                  0.498,                0.41818,                0.42296,                0.24789,                 1.2992,                0.98841,                 1.1367,               0.006535,               0.006535,               0.006535
                     72,                 1.4517,                 1.0928,                 1.2017,                 0.5124,                0.40003,                0.42384,                0.24825,                  1.299,                0.98745,                 1.1364,              0.0064855,              0.0064855,              0.0064855
                     73,                  1.446,                 1.0866,                 1.1957,                0.52044,                0.39727,                0.42556,                0.24908,                 1.2972,                0.98454,                 1.1351,               0.006436,               0.006436,               0.006436
                     74,                 1.4446,                 1.0859,                 1.1962,                0.52844,                 0.3936,                0.42256,                0.24751,                 1.2957,                0.98248,                 1.1346,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.4464,                 1.0849,                 1.1966,                0.52618,                0.39502,                0.42524,                0.24819,                 1.2952,                0.98113,                 1.1343,               0.006337,               0.006337,               0.006337
                     76,                 1.4383,                 1.0829,                 1.1959,                0.51725,                0.40908,                0.42729,                0.25024,                 1.2945,                0.97964,                 1.1342,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.4386,                 1.0804,                 1.1957,                0.53681,                0.39878,                0.42737,                0.24968,                 1.2943,                0.97904,                 1.1337,               0.006238,               0.006238,               0.006238
                     78,                 1.4416,                 1.0804,                 1.1956,                0.53223,                 0.3986,                0.42827,                0.25026,                 1.2941,                0.97827,                 1.1337,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.4402,                 1.0753,                 1.1923,                0.52425,                0.39748,                0.42769,                0.24976,                 1.2934,                 0.9773,                  1.133,               0.006139,               0.006139,               0.006139
                     80,                 1.4395,                 1.0774,                 1.1944,                0.54484,                0.38827,                0.42869,                0.25048,                  1.293,                0.97649,                 1.1327,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.4301,                 1.0667,                 1.1902,                0.53112,                 0.3983,                0.42955,                0.25033,                  1.292,                0.97536,                 1.1322,                0.00604,                0.00604,                0.00604
                     82,                 1.4343,                 1.0711,                 1.1913,                0.51893,                0.39807,                0.42922,                 0.2504,                 1.2916,                0.97568,                 1.1318,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.4324,                 1.0681,                  1.188,                    0.5,                0.41458,                0.43131,                0.25134,                 1.2906,                0.97344,                 1.1312,               0.005941,               0.005941,               0.005941
                     84,                 1.4323,                 1.0666,                 1.1911,                0.51158,                0.41306,                0.43101,                0.25133,                 1.2907,                0.97329,                 1.1315,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.4301,                 1.0648,                 1.1876,                0.51343,                0.41374,                0.43077,                0.25177,                 1.2901,                0.97263,                  1.131,               0.005842,               0.005842,               0.005842
                     86,                 1.4321,                 1.0626,                 1.1885,                0.51208,                0.40923,                0.43173,                0.25243,                 1.2899,                0.97155,                 1.1306,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.4259,                 1.0612,                  1.187,                0.52439,                0.40582,                0.43377,                0.25251,                 1.2896,                0.97044,                 1.1304,               0.005743,               0.005743,               0.005743
                     88,                 1.4243,                 1.0607,                 1.1854,                0.52462,                0.39891,                0.43449,                0.25265,                 1.2894,                0.97024,                 1.1299,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.4262,                 1.0589,                 1.1833,                0.52988,                 0.3912,                 0.4344,                0.25302,                 1.2892,                0.96947,                 1.1297,               0.005644,               0.005644,               0.005644
                     90,                  1.422,                 1.0545,                 1.1833,                0.53686,                0.39338,                0.43493,                0.25298,                  1.289,                0.96907,                 1.1295,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.4182,                 1.0497,                 1.1824,                 0.5464,                 0.3925,                 0.4364,                0.25382,                 1.2894,                0.96879,                 1.1295,               0.005545,               0.005545,               0.005545
                     92,                 1.4203,                 1.0506,                 1.1812,                0.55273,                0.39416,                0.43762,                0.25517,                 1.2886,                0.96786,                 1.1291,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.4173,                 1.0486,                 1.1818,                0.53898,                 0.4041,                0.43826,                0.25569,                  1.288,                0.96709,                 1.1287,               0.005446,               0.005446,               0.005446
