                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.80187,                0.49484,                0.89405,                 0.5567,                0.38681,                0.40243,                0.22593,                 1.2687,                0.82376,                 1.0578,               0.007525,               0.007525,               0.007525
                     52,                0.79295,                0.49032,                0.89176,                0.56698,                0.37878,                0.40782,                0.22752,                 1.2656,                0.81826,                 1.0567,              0.0074755,              0.0074755,              0.0074755
                     53,                0.78771,                0.48713,                0.88936,                0.54923,                0.38204,                0.40306,                 0.2261,                 1.2636,                0.81554,                 1.0543,               0.007426,               0.007426,               0.007426
                     54,                0.78939,                0.48685,                0.88976,                0.56851,                0.38429,                 0.4038,                0.22542,                 1.2589,                 0.8137,                 1.0518,              0.0073765,              0.0073765,              0.0073765
                     55,                0.78141,                0.48115,                 0.8872,                0.50762,                0.40744,                0.40383,                0.22779,                 1.2573,                0.81307,                 1.0501,               0.007327,               0.007327,               0.007327
                     56,                0.77989,                0.48142,                0.88834,                0.55166,                0.38341,                0.40379,                0.22668,                 1.2594,                0.81108,                 1.0515,              0.0072775,              0.0072775,              0.0072775
                     57,                0.77503,                 0.4776,                0.88684,                0.55959,                0.37082,                0.40007,                 0.2258,                  1.254,                0.80573,                  1.049,               0.007228,               0.007228,               0.007228
                     58,                0.77803,                0.47859,                  0.888,                0.56191,                0.37649,                0.40496,                0.22745,                 1.2558,                0.80783,                 1.0489,              0.0071785,              0.0071785,              0.0071785
                     59,                0.77124,                0.47456,                0.88428,                0.59166,                0.37154,                0.40896,                0.22937,                 1.2524,                0.80262,                 1.0482,               0.007129,               0.007129,               0.007129
                     60,                0.76875,                0.47223,                0.88291,                0.53492,                0.39643,                0.41054,                0.23111,                 1.2511,                0.80318,                 1.0468,              0.0070795,              0.0070795,              0.0070795
                     61,                0.76559,                0.47151,                0.88365,                0.55713,                0.38713,                0.40648,                0.22894,                 1.2509,                0.80167,                 1.0472,                0.00703,                0.00703,                0.00703
                     62,                0.75894,                0.46685,                0.88031,                0.52365,                0.39967,                0.40502,                0.22803,                 1.2478,                 0.8008,                 1.0462,              0.0069805,              0.0069805,              0.0069805
                     63,                0.75655,                0.46553,                0.88132,                0.52691,                0.39742,                0.40816,                0.22889,                 1.2445,                0.80117,                 1.0442,               0.006931,               0.006931,               0.006931
                     64,                 0.7551,                0.46487,                0.88112,                0.54117,                0.38435,                0.40769,                0.22872,                 1.2454,                0.79855,                 1.0442,              0.0068815,              0.0068815,              0.0068815
                     65,                 0.7526,                0.46225,                0.87969,                0.52999,                0.39834,                0.40853,                0.23001,                 1.2459,                0.79686,                 1.0441,               0.006832,               0.006832,               0.006832
                     66,                0.74821,                0.46172,                0.88021,                0.52907,                0.39419,                0.40721,                0.22893,                 1.2457,                0.79374,                 1.0442,              0.0067825,              0.0067825,              0.0067825
                     67,                0.74808,                0.45771,                0.87788,                0.54427,                0.39241,                0.40983,                0.23026,                 1.2443,                0.79226,                 1.0436,               0.006733,               0.006733,               0.006733
                     68,                0.74091,                0.45565,                0.87751,                0.53504,                0.40538,                0.41194,                0.23222,                 1.2418,                0.79018,                 1.0422,              0.0066835,              0.0066835,              0.0066835
                     69,                0.74239,                0.45781,                0.87874,                0.54976,                0.39837,                0.41492,                  0.233,                 1.2413,                0.79113,                 1.0416,               0.006634,               0.006634,               0.006634
                     70,                0.73627,                0.45205,                0.87697,                0.53477,                0.40349,                0.41591,                0.23427,                 1.2386,                0.78995,                 1.0404,              0.0065845,              0.0065845,              0.0065845
                     71,                0.73528,                0.45208,                 0.8756,                 0.5442,                 0.3986,                0.41688,                  0.234,                  1.238,                0.78821,                 1.0402,               0.006535,               0.006535,               0.006535
                     72,                0.73591,                0.45212,                0.87707,                0.53861,                0.40292,                0.41838,                0.23372,                 1.2374,                 0.7862,                 1.0402,              0.0064855,              0.0064855,              0.0064855
                     73,                 0.7316,                0.44849,                 0.8743,                0.53361,                0.40753,                0.41874,                0.23396,                 1.2371,                0.78523,                 1.0399,               0.006436,               0.006436,               0.006436
                     74,                 0.7224,                0.44218,                0.87172,                0.51824,                0.41709,                0.41795,                0.23354,                 1.2363,                 0.7858,                 1.0393,              0.0063865,              0.0063865,              0.0063865
                     75,                 0.7295,                0.44676,                0.87427,                0.54441,                0.41147,                0.41703,                0.23363,                 1.2346,                0.78546,                 1.0378,               0.006337,               0.006337,               0.006337
                     76,                0.72025,                0.44331,                0.87115,                 0.5674,                 0.4015,                0.41864,                0.23383,                 1.2347,                0.78381,                 1.0383,              0.0062875,              0.0062875,              0.0062875
                     77,                0.71657,                0.44187,                  0.873,                0.57129,                0.39753,                0.41904,                0.23483,                 1.2349,                0.78257,                 1.0381,               0.006238,               0.006238,               0.006238
                     78,                0.72199,                0.44261,                0.87244,                0.57681,                0.39661,                0.41848,                0.23548,                 1.2345,                0.78249,                 1.0376,              0.0061885,              0.0061885,              0.0061885
                     79,                0.71375,                0.43719,                0.86961,                0.55612,                0.39916,                0.41789,                0.23533,                 1.2332,                0.78138,                 1.0367,               0.006139,               0.006139,               0.006139
                     80,                0.71603,                0.43909,                0.87116,                0.54729,                0.40342,                 0.4179,                0.23567,                 1.2333,                0.78088,                 1.0364,              0.0060895,              0.0060895,              0.0060895
                     81,                0.71229,                0.43706,                 0.8695,                0.54294,                 0.4052,                0.41843,                0.23571,                 1.2319,                0.77861,                 1.0356,                0.00604,                0.00604,                0.00604
                     82,                0.70538,                0.43454,                0.86916,                0.55116,                0.40402,                0.42013,                0.23545,                 1.2322,                0.77772,                 1.0352,              0.0059905,              0.0059905,              0.0059905
                     83,                0.70431,                0.43225,                0.86732,                0.54403,                0.40512,                 0.4211,                 0.2367,                 1.2331,                0.77652,                 1.0352,               0.005941,               0.005941,               0.005941
                     84,                 0.7051,                0.43319,                0.86879,                0.54716,                 0.4005,                0.42007,                0.23617,                 1.2324,                0.77592,                 1.0348,              0.0058915,              0.0058915,              0.0058915
                     85,                 0.7054,                0.43201,                0.86736,                0.55066,                0.39852,                0.42061,                0.23636,                 1.2318,                0.77527,                 1.0347,               0.005842,               0.005842,               0.005842
                     86,                0.69617,                0.42808,                 0.8659,                0.54483,                0.40396,                0.41986,                0.23641,                 1.2319,                0.77421,                  1.035,              0.0057925,              0.0057925,              0.0057925
                     87,                0.69722,                0.42826,                0.86661,                0.54523,                0.40363,                0.42094,                0.23741,                 1.2318,                0.77419,                 1.0352,               0.005743,               0.005743,               0.005743
                     88,                0.69631,                0.42688,                0.86554,                0.55048,                0.40015,                0.42236,                0.23758,                 1.2305,                0.77359,                 1.0346,              0.0056935,              0.0056935,              0.0056935
                     89,                0.69187,                0.42548,                0.86507,                0.55031,                0.39734,                0.42304,                0.23868,                 1.2299,                0.77385,                 1.0343,               0.005644,               0.005644,               0.005644
                     90,                0.69214,                0.42571,                0.86533,                0.54224,                0.40033,                0.42323,                0.23863,                 1.2296,                0.77316,                 1.0342,              0.0055945,              0.0055945,              0.0055945
