                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.3799,                0.95713,                 1.0466,                0.54153,                0.34537,                0.39073,                0.22286,                 1.2264,                0.87114,                0.99475,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.3717,                0.94904,                  1.042,                0.53106,                0.35771,                0.39463,                0.22508,                 1.2293,                0.87067,                 0.9963,               0.007723,               0.007723,               0.007723
                     48,                 1.3704,                0.94672,                 1.0429,                0.51982,                0.36017,                0.39601,                0.22687,                 1.2264,                0.86725,                0.99442,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.3617,                0.94151,                 1.0391,                0.55701,                0.35281,                0.39435,                0.22767,                 1.2232,                0.86464,                0.99503,               0.007624,               0.007624,               0.007624
                     50,                 1.3681,                0.94431,                 1.0411,                0.51672,                0.37493,                0.40219,                0.22853,                 1.2226,                0.85963,                0.99289,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.3602,                0.94105,                 1.0392,                0.50673,                0.38299,                0.40108,                0.23046,                  1.219,                0.85827,                0.99364,               0.007525,               0.007525,               0.007525
                     52,                  1.357,                0.93331,                 1.0378,                0.54151,                0.38574,                0.40164,                0.23059,                 1.2176,                  0.858,                 0.9924,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.3518,                0.92976,                 1.0372,                0.50495,                0.38406,                0.40074,                0.22932,                 1.2112,                 0.8545,                0.99007,               0.007426,               0.007426,               0.007426
                     54,                 1.3525,                0.92703,                 1.0347,                0.54446,                0.37163,                0.40269,                0.23109,                 1.2141,                 0.8564,                0.99036,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.3538,                0.92937,                 1.0359,                  0.527,                0.38057,                0.40346,                0.22975,                 1.2131,                0.85363,                 0.9898,               0.007327,               0.007327,               0.007327
                     56,                 1.3493,                0.92349,                 1.0346,                0.53106,                0.37452,                 0.4078,                0.23437,                 1.2054,                0.84698,                0.98788,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.3442,                0.92064,                 1.0322,                0.55168,                0.37431,                0.40828,                0.23613,                  1.206,                0.84637,                0.98755,               0.007228,               0.007228,               0.007228
                     58,                 1.3457,                0.91768,                 1.0331,                0.52502,                0.39212,                0.41366,                0.23958,                 1.2072,                0.84455,                  0.988,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.3387,                0.91586,                 1.0299,                 0.5385,                0.39122,                0.41425,                0.23897,                 1.2034,                 0.8424,                0.98621,               0.007129,               0.007129,               0.007129
                     60,                  1.344,                0.91694,                 1.0314,                0.58587,                0.36335,                0.41081,                0.23923,                 1.2006,                0.84441,                0.98597,              0.0070795,              0.0070795,              0.0070795
                     61,                  1.332,                0.90688,                 1.0271,                0.57217,                0.35955,                 0.4118,                0.23675,                 1.1974,                0.83955,                0.98464,                0.00703,                0.00703,                0.00703
                     62,                 1.3384,                0.90936,                 1.0288,                0.54148,                0.37458,                 0.4086,                0.23644,                 1.1941,                0.84064,                0.98362,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.3312,                0.90414,                 1.0251,                0.52923,                 0.3737,                0.41018,                0.23764,                 1.1929,                0.83917,                0.98224,               0.006931,               0.006931,               0.006931
                     64,                 1.3331,                0.90688,                 1.0272,                0.53556,                0.37404,                0.41498,                0.23882,                 1.1935,                0.83654,                0.98226,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.3294,                0.90356,                 1.0249,                 0.5301,                0.39004,                0.41608,                0.23962,                 1.1904,                0.83571,                0.98097,               0.006832,               0.006832,               0.006832
                     66,                 1.3304,                0.90519,                 1.0275,                0.50549,                0.40442,                0.41654,                0.23853,                 1.1884,                0.83539,                0.98022,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.3264,                0.89766,                  1.025,                0.57861,                0.36369,                0.41439,                0.23951,                 1.1872,                0.83289,                0.97996,               0.006733,               0.006733,               0.006733
                     68,                 1.3246,                0.89538,                  1.024,                 0.5507,                0.38059,                0.41669,                0.24084,                 1.1875,                0.83073,                0.98031,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.3204,                0.89618,                 1.0223,                0.53257,                0.38676,                0.41807,                0.24198,                 1.1853,                0.83045,                0.97987,               0.006634,               0.006634,               0.006634
                     70,                 1.3222,                0.89338,                  1.022,                0.55789,                0.37413,                0.41747,                0.24194,                 1.1835,                0.82882,                0.97919,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.3229,                0.89243,                 1.0219,                0.54032,                0.38633,                 0.4202,                0.24303,                 1.1834,                0.82672,                 0.9794,               0.006535,               0.006535,               0.006535
                     72,                 1.3179,                0.88796,                 1.0206,                0.54063,                0.38816,                0.42185,                 0.2445,                 1.1816,                0.82552,                0.97897,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.3124,                0.88552,                 1.0187,                 0.5398,                0.39128,                0.42286,                0.24607,                 1.1812,                 0.8263,                0.97839,               0.006436,               0.006436,               0.006436
                     74,                 1.3096,                0.88161,                 1.0184,                0.51271,                0.39992,                0.42118,                0.24506,                  1.181,                0.82418,                 0.9784,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.3109,                0.88395,                 1.0188,                0.55966,                0.38879,                0.42146,                0.24677,                 1.1798,                0.82226,                0.97782,               0.006337,               0.006337,               0.006337
                     76,                 1.3158,                0.88381,                   1.02,                0.50968,                0.40455,                0.42215,                 0.2473,                 1.1795,                 0.8202,                 0.9775,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.3068,                0.87977,                 1.0172,                0.53982,                0.39128,                0.42104,                 0.2476,                 1.1786,                0.81881,                  0.977,               0.006238,               0.006238,               0.006238
                     78,                   1.31,                0.88411,                 1.0195,                0.52162,                 0.3916,                0.42078,                0.24696,                 1.1786,                0.81862,                0.97714,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.3072,                0.87969,                 1.0162,                0.50825,                0.40215,                0.42189,                 0.2481,                 1.1767,                0.81695,                0.97682,               0.006139,               0.006139,               0.006139
                     80,                 1.3074,                0.87752,                 1.0142,                0.53202,                0.40055,                0.42393,                0.24941,                 1.1765,                0.81647,                 0.9768,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.3021,                0.87051,                 1.0154,                 0.5182,                0.40233,                 0.4249,                0.24947,                 1.1762,                 0.8147,                0.97657,                0.00604,                0.00604,                0.00604
                     82,                 1.3038,                0.87321,                 1.0131,                0.51914,                0.40998,                0.42807,                0.25062,                 1.1755,                0.81372,                0.97621,              0.0059905,              0.0059905,              0.0059905
                     83,                  1.297,                0.87011,                 1.0121,                0.52393,                 0.4094,                0.42917,                0.25032,                 1.1742,                0.81248,                0.97588,               0.005941,               0.005941,               0.005941
                     84,                 1.2958,                0.86553,                 1.0117,                0.55396,                0.39443,                0.42854,                0.24998,                 1.1729,                0.81112,                0.97523,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.2958,                 0.8669,                 1.0131,                0.55737,                 0.3913,                0.42913,                0.25155,                 1.1727,                0.81086,                 0.9751,               0.005842,               0.005842,               0.005842
                     86,                 1.2936,                0.86355,                 1.0119,                0.53758,                0.39625,                0.42863,                0.25113,                 1.1709,                0.80874,                0.97462,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.2947,                0.86828,                 1.0101,                0.54418,                 0.3927,                0.43005,                0.25153,                 1.1703,                0.80879,                0.97464,               0.005743,               0.005743,               0.005743
                     88,                 1.2883,                0.85814,                 1.0095,                0.54179,                0.39852,                0.43187,                0.25251,                   1.17,                0.80829,                0.97425,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.2896,                0.86023,                  1.009,                0.55308,                0.39661,                0.43308,                0.25224,                 1.1699,                0.80752,                0.97421,               0.005644,               0.005644,               0.005644
                     90,                 1.2872,                0.85893,                 1.0094,                0.54222,                0.40114,                0.43355,                0.25261,                 1.1694,                0.80704,                0.97394,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.2879,                 0.8588,                 1.0096,                0.54991,                0.39874,                0.43393,                0.25276,                 1.1688,                0.80697,                0.97375,               0.005545,               0.005545,               0.005545
                     92,                 1.2935,                0.86219,                 1.0082,                0.54021,                0.40128,                0.43369,                 0.2535,                 1.1687,                0.80684,                0.97368,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.2761,                0.85041,                 1.0069,                0.54589,                 0.3923,                0.43395,                0.25255,                 1.1685,                 0.8064,                0.97373,               0.005446,               0.005446,               0.005446
