epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,17273.3,2.95227,1.90731,2.03335,0.54059,0.4093,0.44044,0.26188,2.66269,1.8195,1.96639,0.0058915,0.0058915,0.0058915
85,17478.3,2.94584,1.89725,2.03125,0.55787,0.40288,0.44361,0.26347,2.66332,1.81721,1.96612,0.005842,0.005842,0.005842
86,17684.2,2.94057,1.89657,2.03092,0.55427,0.40084,0.44145,0.26288,2.66191,1.81633,1.96641,0.0057925,0.0057925,0.0057925
87,17890.1,2.93495,1.89334,2.02717,0.56918,0.3906,0.44326,0.26366,2.66182,1.81619,1.96622,0.005743,0.005743,0.005743
88,18095.9,2.94407,1.90227,2.0261,0.58056,0.38768,0.44284,0.26361,2.6607,1.8148,1.96556,0.0056935,0.0056935,0.0056935
89,18301.2,2.9233,1.87992,2.02271,0.59365,0.38597,0.44273,0.26384,2.65939,1.81521,1.96477,0.005644,0.005644,0.005644
90,18507,2.92513,1.87647,2.02039,0.59618,0.3872,0.44309,0.26363,2.65839,1.81285,1.96446,0.0055945,0.0055945,0.0055945
91,18712.2,2.92145,1.87529,2.01793,0.59003,0.38678,0.44356,0.26472,2.65759,1.81192,1.96388,0.005545,0.005545,0.005545
92,18917,2.92696,1.87536,2.01849,0.57787,0.38993,0.44372,0.26517,2.65742,1.80941,1.9631,0.0054955,0.0054955,0.0054955
93,19121.6,2.91005,1.87095,2.01895,0.58696,0.38564,0.44341,0.2644,2.65766,1.80902,1.96269,0.005446,0.005446,0.005446
94,19326.7,2.91844,1.86523,2.01348,0.5714,0.39315,0.44441,0.26497,2.65713,1.80768,1.96284,0.0053965,0.0053965,0.0053965
95,19531.3,2.91962,1.86419,2.01409,0.57376,0.39149,0.44491,0.26527,2.65483,1.80829,1.962,0.005347,0.005347,0.005347
96,19736.5,2.90611,1.85942,2.01293,0.56132,0.39963,0.44391,0.26442,2.65462,1.80756,1.96142,0.0052975,0.0052975,0.0052975
97,19941.5,2.90969,1.86199,2.01544,0.56654,0.39995,0.44356,0.264,2.65349,1.80622,1.96126,0.005248,0.005248,0.005248
98,20146.7,2.90032,1.85334,2.0087,0.56216,0.39834,0.44359,0.26385,2.65314,1.80531,1.96137,0.0051985,0.0051985,0.0051985
99,20352.2,2.91041,1.85747,2.01171,0.56543,0.39566,0.44314,0.26365,2.65243,1.80535,1.96064,0.005149,0.005149,0.005149
100,20556.8,2.91029,1.85602,2.00879,0.56291,0.40051,0.44358,0.26408,2.65146,1.80558,1.95992,0.0050995,0.0050995,0.0050995
101,20762.2,2.894,1.8444,2.00774,0.56138,0.40106,0.44395,0.26447,2.65039,1.8045,1.95986,0.00505,0.00505,0.00505
102,20967.6,2.90265,1.84093,2.00408,0.56616,0.40078,0.44404,0.26384,2.65034,1.80369,1.9597,0.0050005,0.0050005,0.0050005
103,21173.5,2.88465,1.83697,2.00501,0.58944,0.39085,0.44519,0.26419,2.65073,1.80264,1.95948,0.004951,0.004951,0.004951
104,21378.8,2.88752,1.83708,2.00131,0.57293,0.3987,0.44568,0.26452,2.64986,1.80132,1.95907,0.0049015,0.0049015,0.0049015
105,21583.6,2.89323,1.83461,1.99863,0.56614,0.40105,0.44673,0.26529,2.64923,1.80102,1.95889,0.004852,0.004852,0.004852
106,21788.8,2.89597,1.83735,2.0003,0.56508,0.39821,0.44733,0.26555,2.6482,1.80007,1.95855,0.0048025,0.0048025,0.0048025
107,21993.4,2.87962,1.83071,2.00102,0.58846,0.38673,0.44766,0.26562,2.64784,1.79969,1.95815,0.004753,0.004753,0.004753
108,22198.8,2.88353,1.82638,1.99852,0.56519,0.40068,0.44858,0.26566,2.64719,1.80021,1.95783,0.0047035,0.0047035,0.0047035
109,22404.5,2.88497,1.82461,2.00009,0.58838,0.3894,0.44871,0.26583,2.64684,1.79947,1.95776,0.004654,0.004654,0.004654
110,22610,2.87485,1.81404,1.99598,0.55752,0.40764,0.448,0.26593,2.64724,1.79959,1.95728,0.0046045,0.0046045,0.0046045
111,22815,2.87599,1.82081,1.99558,0.55795,0.40997,0.44862,0.26635,2.64676,1.79849,1.95699,0.004555,0.004555,0.004555
112,23020.4,2.86734,1.815,1.99868,0.54618,0.41789,0.44943,0.26678,2.64575,1.79838,1.95656,0.0045055,0.0045055,0.0045055
113,23225.3,2.87563,1.8134,1.9963,0.54198,0.41601,0.44974,0.26712,2.64469,1.79869,1.95643,0.004456,0.004456,0.004456
114,23430.8,2.87575,1.8073,1.99723,0.54302,0.41335,0.44928,0.26709,2.64389,1.79814,1.9559,0.0044065,0.0044065,0.0044065
115,23636.5,2.86369,1.80859,1.9932,0.53742,0.41634,0.44913,0.26721,2.64364,1.79734,1.95585,0.004357,0.004357,0.004357
116,23841.3,2.85645,1.80198,1.99175,0.53794,0.41315,0.45007,0.26761,2.64224,1.79695,1.95553,0.0043075,0.0043075,0.0043075
117,24046.4,2.84995,1.79431,1.98923,0.53667,0.41381,0.4498,0.26786,2.64161,1.79688,1.95503,0.004258,0.004258,0.004258
118,24251.9,2.85865,1.79846,1.98912,0.54852,0.41223,0.44983,0.26775,2.64096,1.79726,1.95484,0.0042085,0.0042085,0.0042085
119,24457.6,2.84818,1.78823,1.98886,0.55297,0.41526,0.45005,0.26776,2.64214,1.79594,1.95501,0.004159,0.004159,0.004159
120,24663.5,2.85656,1.8013,1.98819,0.55844,0.4126,0.45039,0.26778,2.6409,1.79532,1.95486,0.0041095,0.0041095,0.0041095
121,24869,2.84388,1.78608,1.9851,0.56158,0.41077,0.45063,0.26804,2.64039,1.79427,1.95491,0.00406,0.00406,0.00406
122,25074.3,2.84723,1.78866,1.98789,0.55953,0.41301,0.45084,0.26855,2.63927,1.79472,1.95454,0.0040105,0.0040105,0.0040105
123,25279.4,2.84264,1.78721,1.98586,0.56096,0.41274,0.45033,0.268,2.63893,1.79513,1.95424,0.003961,0.003961,0.003961
124,25484.7,2.8388,1.78074,1.98556,0.5566,0.41496,0.45065,0.26804,2.63895,1.7948,1.9542,0.0039115,0.0039115,0.0039115
125,25690.3,2.83394,1.77178,1.97734,0.56194,0.41169,0.45072,0.26788,2.63832,1.79538,1.95378,0.003862,0.003862,0.003862
126,25895.6,2.84763,1.78077,1.98001,0.56701,0.41156,0.45039,0.26798,2.63854,1.79527,1.95382,0.0038125,0.0038125,0.0038125
127,26100.9,2.83145,1.77139,1.97858,0.56573,0.412,0.45057,0.26774,2.63832,1.79394,1.9537,0.003763,0.003763,0.003763
128,26306.4,2.83136,1.76986,1.97922,0.5691,0.40831,0.45056,0.26796,2.63807,1.79447,1.95335,0.0037135,0.0037135,0.0037135
129,26511.7,2.82587,1.77019,1.97727,0.57061,0.40675,0.45065,0.268,2.63771,1.79424,1.95286,0.003664,0.003664,0.003664
130,26716.6,2.82952,1.76181,1.97455,0.57026,0.40792,0.45103,0.2681,2.63738,1.79413,1.95268,0.0036145,0.0036145,0.0036145
131,26921.8,2.82842,1.77641,1.97839,0.57411,0.40809,0.45081,0.26867,2.63661,1.79507,1.9521,0.003565,0.003565,0.003565
132,27127.2,2.82425,1.76384,1.97622,0.57026,0.41413,0.45086,0.26861,2.63671,1.79484,1.95218,0.0035155,0.0035155,0.0035155
133,27332.1,2.82658,1.76363,1.97217,0.56766,0.41347,0.45083,0.26826,2.63704,1.79501,1.95181,0.003466,0.003466,0.003466
134,27536.8,2.81563,1.75895,1.97108,0.56744,0.41307,0.45119,0.26878,2.637,1.7952,1.95183,0.0034165,0.0034165,0.0034165
135,27741.5,2.80415,1.74507,1.96924,0.55525,0.42277,0.45103,0.2689,2.63658,1.79588,1.95165,0.003367,0.003367,0.003367
136,27946.4,2.80402,1.74602,1.97402,0.55579,0.41901,0.45139,0.26904,2.63681,1.79581,1.95151,0.0033175,0.0033175,0.0033175
137,28151.2,2.80391,1.74763,1.96887,0.57078,0.41381,0.45129,0.26912,2.63664,1.79656,1.95166,0.003268,0.003268,0.003268
138,28355.7,2.80764,1.74718,1.96932,0.57573,0.41178,0.45177,0.26936,2.63644,1.7973,1.95138,0.0032185,0.0032185,0.0032185
